date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:50	28965/28965	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-7ccf%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-4.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-4.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:50	22222/22222	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-62bb%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-5.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-5.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
18:06:50	73016/73016	---M--	200	added ('OK')	image/jpeg	etag:%22602a561c-13f34%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-offer-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-offer-1.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:50	60691/60691	---M--	200	added ('OK')	image/jpeg	etag:%22602a561d-10b61%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-offer-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-offer-2.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:51	180254/180254	---M--	200	added ('OK')	image/jpeg	etag:%22602a562e-2e2ce%22	https://templates.hibootstrap.com/maxon/default/assets/img/products/products-overview-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/products/products-overview-1.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:51	162907/162907	---M--	200	added ('OK')	image/jpeg	etag:%22602a562e-29d03%22	https://templates.hibootstrap.com/maxon/default/assets/img/products/products-overview-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/products/products-overview-2.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:51	114882/114882	---M--	200	added ('OK')	image/jpeg	etag:%22602a5636-1eeae%22	https://templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-5.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-5.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:51	115408/115408	---M--	200	added ('OK')	image/jpeg	etag:%22602a5635-1e3f5%22	https://templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-6.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/top-products/top-products-6.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:51	32819/32819	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-8950%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-6.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-6.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:52	26108/26108	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-6f0c%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-7.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-7.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:52	37980/37980	---M--	200	added ('OK')	image/jpeg	etag:%22602a5639-9f72%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-8.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-8.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
18:06:52	32175/32175	---M--	200	added ('OK')	image/jpeg	etag:%22602a5639-87bf%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-9.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-9.jpg	(from https://templates.hibootstrap.com/maxon/default/index-2.html)
